NORAD ID,Name,International Code,launch date ,Period (minutes),Status,Beacon (MHz),Category,magnitude,PRN,Longitude,SV,isFavourite
39469,MCUBED-2,2013-072H,,97.4,Active,437.479,Amateur radio,,,,,
39467,ALICE,2013-072F,,-,Non-amateur,,Amateur radio,,,,,
39464,FIREBIRD B,2013-072C,,97.4,Inactive,,Amateur radio,,,,,
39463,FIREBIRD A,2013-072B,,97.4,Inactive,,Amateur radio,,,,,
39446,UWE-3,2013-066AG,,97.4,Active,,Amateur radio,,,,,
39445,HINCUBE,2013-066AF,,97.2,Inactive,,Amateur radio,,,,,
39444,FUNCUBE 1 (AO-73)ÊÊCÊ,2013-066AE,,97.2,Active,145.935,Amateur radio,,,,,
39443,QUBESCOUT-S1,2013-066AD,,96.3,Inactive,,Amateur radio,,,,,
39442,PUCP-SAT 1ÊÊCÊ,2013-066AC,,96.6,Inactive,,Amateur radio,,,,,
39441,NEE 02 KRYSAOR,2013-066AB,,97.6,Non-amateur,,Amateur radio,,,,,
39440,CUBEBUG 2,2013-066AA,,97.6,Active,,Amateur radio,,,,,
39439,FIRST-MOVEÊÊCÊ,2013-066Z,,97.2,Active,145.97,Amateur radio,,,,,
39438,VELOX-P 2ÊÊCÊ,2013-066Y,,97.4,Inactive,145.98,Amateur radio,,,,,
39437,BEAKERSAT 1,2013-066X,,91.8,Inactive,,Amateur radio,,,,,
39435,WREN,2013-066V,,97,Inactive,437.405,Amateur radio,,,,,
39434,DOVE 4,2013-066U,,95.7,Non-amateur,,Amateur radio,,,,,
39433,HUMSAT D,2013-066T,,96.5,Inactive,437.325,Amateur radio,,,,,
39432,ICUBE 1ÊÊCÊ,2013-066S,,96.6,Inactive,,Amateur radio,,,,,
39431,BRITE-PL,2013-066R,,99.5,Inactive,145.89,Amateur radio,,,,,
39430,GOMX 1,2013-066Q,,98.7,Active,437.25,Amateur radio,,,,,
39429,DOVE 3,2013-066P,,98.6,Non-amateur,,Amateur radio,,,,,
39428,DELFI-N3XT,2013-066N,,98.1,Inactive,2405,Amateur radio,,,,,
39428,DELFI-N3XTÊÊCÊ,2013-066N,,98.1,Inactive,,Amateur radio,,,,,
39427,TRITON 1ÊÊCÊ,2013-066M,,98.1,Inactive,2408,Amateur radio,,,,,
39423,WNISAT 1,2013-066H,,99.1,Non-amateur,,Amateur radio,,,,,
39421,UNISAT 5,2013-066F,,96.8,Inactive,,Amateur radio,,,,,
39420,OPTOS,2013-066E,,98.5,Non-amateur,,Amateur radio,,,,,
39417,ZACUBEÊÊCÊ,2013-066B,,97.2,Active,14.099,Amateur radio,,,,,
39403,HO OPONOPONO 2,2013-064Z,,92.5,,,Amateur radio,,,,,
